00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
06,02,02,02,02,02,02,02,02,02,02,02,02,02,02,07,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
12,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
10,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,
08,05,05,05,05,05,05,05,05,05,05,05,05,05,05,09,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
1,0,0,0
